#capability,update_pkt
#name,update_pkt
#grep skb bpf_helpers.txt |sort|uniq|grep -v support|cut -d '-' -f 2
bpf_skb_adjust_room,1
bpf_skb_ancestor_cgroup_id,0
bpf_skb_cgroup_id,0
bpf_skb_change_head,1
bpf_skb_change_proto,1
bpf_skb_change_tail,1
bpf_skb_change_type,1
bpf_skb_ecn_set_ce,1
bpf_skb_get_tunnel_key,0
bpf_skb_get_tunnel_opt,0
bpf_skb_get_xfrm_state,0
bpf_skb_load_bytes,0
bpf_skb_load_bytes_relative,0
bpf_skb_pull_data,1
bpf_skb_set_tunnel_key,1
bpf_skb_set_tunnel_opt,1
bpf_skb_store_bytes,1
bpf_skb_under_cgroup,0
bpf_skb_vlan_pop,1
bpf_skb_vlan_push,1
#grep -E -v "bpf_skb_adjust_room|bpf_skb_ancestor_cgroup_id|bpf_skb_cgroup_id|bpf_skb_change_head|bpf_skb_change_proto|bpf_skb_change_tail|bpf_skb_change_type|bpf_skb_ecn_set_ce|bpf_skb_get_tunnel_key|bpf_skb_get_tunnel_opt|bpf_skb_get_xfrm_state|bpf_skb_load_bytes|bpf_skb_load_bytes_relative|bpf_skb_pull_data|bpf_skb_set_tunnel_key|bpf_skb_set_tunnel_opt|bpf_skb_store_bytes|bpf_skb_under_cgroup|bpf_skb_vlan_pop|bpf_skb_vlan_push|supported|map|get|lookup|print|read|lock" bpf_helpers.txt |sort|uniq|cut -d '-' -f 2
bpf_bind,0
bpf_clone_redirect,0
bpf_csum_diff,0
bpf_csum_update,1
bpf_current_task_under_cgroup,0
bpf_l3_csum_replace,1
bpf_l4_csum_replace,1
bpf_lwt_push_encap,1
bpf_lwt_seg6_action,1
bpf_lwt_seg6_adjust_srh,1
bpf_lwt_seg6_store_bytes,1
bpf_msg_apply_bytes,0
bpf_msg_cork_bytes,0
bpf_msg_pop_data,1
bpf_msg_pull_data,1
bpf_msg_push_data,1
bpf_msg_redirect_hash,0
bpf_override_return,0
bpf_perf_event_output,0
bpf_probe_write_user,0
bpf_redirect,0
bpf_send_signal,0
bpf_set_hash,1
bpf_set_hash_invalid,1
bpf_setsockopt,1
bpf_sk_fullsock,0
bpf_sk_redirect_hash,0
bpf_sk_release,0
bpf_sk_select_reuseport,0
bpf_sk_storage_delete,0
bpf_sock_hash_update,0
bpf_sock_ops_cb_flags_set,1
bpf_strtol,0
bpf_strtoul,0
bpf_sysctl_set_new_value,0
bpf_tail_call,0
bpf_tcp_check_syncookie,0
bpf_tcp_gen_syncookie,0
bpf_tcp_sock,0
bpf_xdp_adjust_head,1
bpf_xdp_adjust_meta,1
bpf_xdp_adjust_tail,1
#rest
bpf_fib_lookup,0
bpf_get_cgroup_classid,0
bpf_get_current_cgroup_id,0
bpf_get_current_comm,0
bpf_get_current_pid_tgid,0
bpf_get_current_task,0
bpf_get_current_uid_gid,0
bpf_get_hash_recalc,0
bpf_get_listener_sock,0
bpf_get_local_storage,0
bpf_get_numa_node_id,0
bpf_get_prandom_u32,0
bpf_get_route_realm,0
bpf_get_smp_processor_id,0
bpf_get_socket_cookie,0
bpf_get_socket_uid,0
bpf_get_stack,0
bpf_get_stackid,0
bpf_getsockopt,0
bpf_ktime_get_ns,0
bpf_map_delete_elem,0
bpf_map_lookup_elem,0
bpf_map_peek_elem,0
bpf_map_pop_elem,0
bpf_map_push_elem,0
bpf_map_update_elem,0
bpf_msg_redirect_map,0
bpf_perf_event_read,0
bpf_perf_event_read_value,0
bpf_perf_prog_read_value,0
bpf_probe_read,0
bpf_probe_read_str,0
bpf_redirect_map,0
bpf_sk_lookup_tcp,0
bpf_sk_lookup_udp,0
bpf_sk_redirect_map,0
bpf_sk_storage_get,0
bpf_skc_lookup_tcp,0
bpf_sock_map_update,0
bpf_spin_lock,0
bpf_spin_unlock,0
bpf_sysctl_get_current_value,0
bpf_sysctl_get_name,0
bpf_sysctl_get_new_value,0
bpf_trace_printk,0
